Parent ASIN,Child ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Conversion Rate - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page View Percentage - Total,Page View Percentage - Total - B2B,Buy Box Percentage,Buy Box Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0CR66VXQ3,B0CQZN9CJ7,"Linoroso Kitchen Scissors All Purpose Kitchen Shears with Magnetic Holder, Soft Grip Handle Cooking Scissors Dishwasher Safe with Come Apart Blade Heavy Duty Scissors for Meat, Vegetable, Herb, White",LKS06,110,0,0.23%,0.00%,145,0,0.23%,0.00%,100.00%,0.00%,25,0,22.73%,0.00%,US$561.35,US$0.00,22,0
B0D942MWSD,B0D942MWSD,"Linoroso Pizza Cutter Wheel, Durable Stainless Steel 4-Inch Pizza Wheel Cutter with Comfortable Safety Handle, Pizza Slicer Wheel for Cutting Through Pizza, Crust, Pie, Brownie, Flatbread, Green",LKL06,117,2,0.25%,0.25%,171,2,0.27%,0.19%,100.00%,100.00%,18,2,15.38%,100.00%,US$251.82,US$27.98,17,1
B0DH1V46S6,B085DTF1GQ,"linoroso Nakiri Knife 7 inch Japanese Chef Knife, Asian Vegetable Cleaver Kitchen Knife, German High Carbon Stainless Steel Usuba Knife with Full Tang Ergonomic Handle for Home Kitchen and Restaurant",PCF20,315,5,0.67%,0.63%,482,6,0.75%,0.56%,99.75%,100.00%,15,0,4.76%,0.00%,US$410.05,US$0.00,15,0
B08YQG5TMR,B08WYZ8N7S,"Linoroso Kitchen Scissors Heavy Duty Kitchen Shears with Magnetic Holder Made with Japanese Steel 4034, Multipurpose Ultra Sharp Cooking Scissors for Meat/Vegetables/BBQ/Herbs/Pizza (Graphic,Cow)",LKS04,309,4,0.66%,0.50%,375,4,0.58%,0.37%,100.00%,100.00%,15,0,4.85%,0.00%,US$306.45,US$0.00,15,0
B08YQG5TMR,B08WYV9B9Z,"Linoroso Kitchen Scissors Heavy Duty Kitchen Shears with Magnetic Holder Made with Japanese Steel 4034, Multipurpose Ultra Sharp Cooking Scissors for Meat/Vegetables/BBQ/Herbs/Pizza (Graphic,Tiger)",LKS02,261,3,0.56%,0.38%,283,3,0.44%,0.28%,100.00%,100.00%,17,0,6.51%,0.00%,US$331.63,US$0.00,14,0
B0DCG1TQNM,B0DCG1TQNM,"linoroso Adjustable Mandoline Food Slicer 5 in 1, Mandoline Slicer for Kitchen with Container, Vegetable Chopper Shredder Wave Cutter for Potato, Carrot, Zucchini, Grindder for Cheese Lemon",LKL04,378,5,0.81%,0.63%,566,7,0.88%,0.65%,100.00%,100.00%,12,0,3.17%,0.00%,US$272.59,US$0.00,12,0
B08YQG5TMR,B08WYVW1M6,"Linoroso Kitchen Scissors Heavy Duty Kitchen Shears with Magnetic Holder Made with Japanese Steel 4034, Multipurpose Ultra Sharp Cooking Scissors for Meat/Vegetables/BBQ/Herbs/Pizza (Graphic,Chick)",LKS03,310,4,0.66%,0.50%,354,4,0.55%,0.37%,100.00%,100.00%,11,0,3.55%,0.00%,US$210.89,US$0.00,11,0
B0DW8TH6SK,B0CG9CJJKS,"linoroso Pop Airtight Food Storage Containers with Date Recording Lids, Stackable Plastic Storage Containers Set of 7, Dry Cereal Container Set for Pantry Countertop Fridge Organization",LAC12,445,12,0.95%,1.51%,619,18,0.96%,1.68%,100.00%,100.00%,11,0,2.47%,0.00%,US$522.05,US$0.00,11,0
B0CP36TRTS,B0CP36TRTS,"linoroso 5 inch Kitchen Utility Knife Gourmet Series, Sharp Stainless Steel Kitchen Knife Multipurpose Paring Knife for Cutting, Peeling, Slicing Fruit, Vegetables, and Meat",TPF03,82,1,0.18%,0.13%,119,1,0.19%,0.09%,100.00%,0.00%,11,0,13.41%,0.00%,US$166.49,US$0.00,10,0
B0D91YLTXG,B0D5CZRH3L,"Linoroso Magnetic Bottle Opener Pop Can Opener for Refrigerator, Beer Bottle Opener and Soda Can Opener with Cap Catcher, Portable Beer Opener for Bartender, Home, Restaurant, Bar Tools, 1 Pack, Green",LON01-G,62,2,0.13%,0.25%,74,2,0.12%,0.19%,100.00%,100.00%,10,0,16.13%,0.00%,US$58.10,US$0.00,10,0
B0C4GTH88K,B0C4GTH88K,"linoroso 3 Piece Knife Set, Chef Santoku Paring Knife Set with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Knives with Full Tang Ergonomic Handle for Home Kitchen and Restaurant",PCF61,67,0,0.14%,0.00%,100,0,0.16%,0.00%,98.82%,0.00%,9,1,13.43%,0.00%,US$467.91,US$59.99,9,1
B0CLCRP8JV,B0CLCRP8JV,"linoroso Round Acacia Wood Cutting Board with Juice Groove for Chopping and Serving Charcuterie, Exquisite Non-Splicing Cheese Board (Dia. 10 inch, Non-Exact Round, Follow Actual Shape of Wood)",LCB05N,169,4,0.36%,0.50%,274,5,0.43%,0.47%,100.00%,100.00%,9,0,5.33%,0.00%,US$240.37,US$0.00,9,0
B0CMXDW5YX,B0CMXDW5YX,"linoroso Magnetic Knife Holder, Heavy Duty Aluminum Magnetic Knife Holder for Wall Use as Knife Bar, Knife Holder, Magnetic Tool, Kitchen Utensil & Home Organizer, 14.3 Inch",MKS20,75,0,0.16%,0.00%,103,0,0.16%,0.00%,98.95%,0.00%,9,0,12.00%,0.00%,US$125.07,US$0.00,9,0
B0CR3472R6,B0CR3472R6,"linoroso Paring Knife with Cover of 4, Paring Knife Set for Camping, 3.5"" Paring Knife Set of Premium Stainless Steel, Ultra Sharp Small Kitchen Knife Set for Cutting and Peeling",MCS01,84,2,0.18%,0.25%,116,3,0.18%,0.28%,100.00%,100.00%,9,3,10.71%,150.00%,US$137.61,US$50.97,9,3
B0CBQZRZBL,B0CBQZRZBL,"linoroso Pop Airtight Food Storage Containers with Time Recording Lids, BPA-Free Stackable Plastic Storage Containers Set of 4, Dry Cereal Container Set for Pantry Countertop Fridge Organization",LAC10,340,5,0.73%,0.63%,519,6,0.81%,0.56%,100.00%,100.00%,11,0,3.24%,0.00%,US$239.89,US$0.00,8,0
B0DH1V46S6,B07ZCTSHL3,"linoroso Chef Knife - Professional Pro Kitchen Knife 8 inch Chef's Knives, German High Carbon Stainless Steel Ultra Sharp Cooking Knife with Full Tang Ergonomic Handle - Classic Series",PCF07,240,5,0.51%,0.63%,277,6,0.43%,0.56%,100.00%,100.00%,7,0,2.92%,0.00%,US$204.48,US$0.00,7,0
B083BPV9K6,B083BPV9K6,"linoroso Steak Knives, Semi Serrated Steak Knife Set of 4, Sharp Forged German Stainless Steel Steak Knives Set with Exquisite Beech Wood Block, Full Tang, Ergonomic Handle- MAKO Series",ROZ12-4,48,1,0.10%,0.13%,97,1,0.15%,0.09%,98.53%,0.00%,7,0,14.58%,0.00%,US$187.43,US$0.00,7,0
B0BC414MM2,B0BC414MM2,"linoroso Knife Set with Gift Box, 14 Pcs Full Tang German Stainless Steel Knife Block Set with Scissors, Ultra Sharp Knife Sets for Kitchen with Wooden Block, Classic Series - Gift for Men & Women",PCF60,60,1,0.13%,0.13%,112,4,0.17%,0.37%,100.00%,100.00%,7,0,11.67%,0.00%,US$659.93,US$0.00,7,0
B08QN2HZXF,B08QMG5LW8,"Linoroso Cutting Boards for Kitchen with Defrosting Tray Set of 3, Dishwasher Safe Plastic Cutting Board with Deep Juice Grooves, Non-Slip Durable Chopping Boards for Meat, Veggies, Fruits-Lava Orange",LCB006,126,1,0.27%,0.13%,151,1,0.24%,0.09%,100.00%,0.00%,6,0,4.76%,0.00%,US$91.14,US$0.00,6,0
B0BW5FCV5D,B0BW5FCV5D,"linoroso Serrated Bread Knife for Homemade Bread with Elegant Gift Box, Full Tang Ultra Sharp Forged German Carbon Stainless Steel Bread Knife 8 inch for Slicing Bread, Bagels, Cake - Classic Series",PCF05,25,1,0.05%,0.13%,31,1,0.05%,0.09%,100.00%,0.00%,6,0,24.00%,0.00%,US$173.70,US$0.00,6,0
B0D91YLTXG,B0D5D3SL1T,"Linoroso Magnetic Bottle Opener Pop Can Opener for Refrigerator, Beer Bottle Opener and Soda Can Opener with Cap Catcher, Portable Beer Opener for Bartender, Home, Restaurant, Bar Tools, 2 Pack, Black",LON10-B,31,0,0.07%,0.00%,34,0,0.05%,0.00%,100.00%,0.00%,6,0,19.35%,0.00%,US$56.94,US$0.00,6,0
B07V1T4BWS,B07V1T4BWS,"Linoroso Santoku Knife - Ultra Sharp German High-Carbon Stainless Steel, 6 inch - Mako Series with Exquisite In-Drawer Knife Block",ROZ17,28,0,0.06%,0.00%,45,0,0.07%,0.00%,100.00%,0.00%,5,0,17.86%,0.00%,US$110.96,US$0.00,5,0
B0DH1V46S6,B085DGDB5V,"linoroso Cleaver Knife 7.5 inch Meat and Vegetable Chinese Cleaver Kitchen Chef Knife, German High Carbon Stainless Steel Butcher Knife with Full Tang Ergonomic Handle for Home Kitchen and Restaurant",PCF10,163,1,0.35%,0.13%,175,1,0.27%,0.09%,96.95%,100.00%,5,0,3.07%,0.00%,US$119.07,US$0.00,5,0
B0DH1V46S6,B0BW5FCV5D,"linoroso Serrated Bread Knife for Homemade Bread with Elegant Gift Box, Full Tang Ultra Sharp Forged German Carbon Stainless Steel Bread Knife 8 inch for Slicing Bread, Bagels, Cake - Classic Series",PCF05,151,2,0.32%,0.25%,160,2,0.25%,0.19%,100.00%,100.00%,5,0,3.31%,0.00%,US$118.71,US$0.00,5,0
B08Y5PN1VV,B07SQ36ML2,"linoroso Chef Knife Kitchen Knife Ultra Sharp Cooking Knife, 7 inch Precision Forged German High-Carbon Stainless Steel Cutting Knife with Exquisite In-Drawer Knife Block- MAKO Series",ROZ07,42,8,0.09%,1.01%,73,17,0.11%,1.59%,100.00%,100.00%,4,1,9.52%,12.50%,US$119.96,US$29.99,4,1
B07V1C4PR1,B07V1C4PR1,linoroso Paring Knife Fruit Knife Ultra Sharp Small Kitchen Knife- 4.5 inch Precision Forged German High-Carbon Stainless Steel Peeling Knife with Exquisite in-Drawer Knife Block - MAKO Series,ROZ03,42,1,0.09%,0.13%,52,1,0.08%,0.09%,93.88%,100.00%,4,0,9.52%,0.00%,US$100.06,US$0.00,4,0
B085DM9PNX,B085DM9PNX,"Linoroso Magnetic Knife Block Knife Holder Knife Stand, Super Strong Magnet Double Sided Kitchen Knives Storage Fitted, American Ash Wood, Black Oxide Stainless Steel Base",LKB01,148,2,0.32%,0.25%,190,2,0.30%,0.19%,100.00%,100.00%,4,0,2.70%,0.00%,US$227.80,US$0.00,4,0
B08Q7KB6Z8,B08Q7KB6Z8,"Linoroso Nylon Cooking Utensils Set, 7 Pieces Elevate Kitchen Utensil Set with Exquisite Rotating Stand, Innovative Weighted Handle, Easy to Clean, Black & Peacock Green (BPA Free, Non Toxic)",LUT01,200,2,0.43%,0.25%,266,2,0.41%,0.19%,100.00%,0.00%,5,0,2.50%,0.00%,US$139.75,US$0.00,4,0
B0DH1V46S6,B094N5D3Q7,"linoroso Santoku Knife 7 inch Meat Kitchen Asian Chef Knife, German High Carbon Stainless Steel Chopping Knife with Full Tang Ergonomic Handle for Home Kitchen and Restaurant",PCF17,197,3,0.42%,0.38%,211,3,0.33%,0.28%,99.48%,100.00%,4,0,2.03%,0.00%,US$115.44,US$0.00,4,0
B0D4VQK8GH,B0C9PTQLVS,"Linoroso Black Stainless Steel Serrated Fruit Y-Peeler, Classic Vegetable Peeler, Japanese Swivel Blade, Comfortable Handle, Dishwasher Safe",LPS03-B,21,2,0.04%,0.25%,25,2,0.04%,0.19%,95.45%,100.00%,5,3,23.81%,150.00%,US$39.95,US$23.97,4,2
B0C9QLKSFP,B0C9QDP814,"Linoroso 3 piece Vegetable Y-Peeler Set with Straight Peeler, Serrated Peeler and Julienne Peeler, Dishwasher Safe Classic Fruit Peeler for Kitchen, Potato Peelers for Peeling veggie and Food, Green",LPS12-G,17,0,0.04%,0.00%,22,0,0.03%,0.00%,100.00%,0.00%,4,0,23.53%,0.00%,US$30.76,US$0.00,4,0
B0DB21HWDV,B0DB21HWDV,"linoroso Dish Drying Rack, Detachable Dish Rack with Stainless Steel Dish Straight and Portable Drying Tray, Over Sink Dish Drainer for Kitchen Counter Kitchen Cabinet, Fit for Over 16'' Kitchen Sink",LKL100,115,3,0.25%,0.38%,178,5,0.28%,0.47%,100.00%,100.00%,6,0,5.22%,0.00%,US$119.94,US$0.00,4,0
B0DBH5XZCZ,B0DBH5XZCZ,"linoroso Lemon Zester & Peeler 2 in 1, Multifunction Kitchen Tool - Handheld Grater for Cheese, Lemon, Peeler for Potato, Carrot, Cucumber - Razor Sharp Stainless Steel Blade with Protective Cover",LKL02,81,4,0.17%,0.50%,110,4,0.17%,0.37%,100.00%,100.00%,4,0,4.94%,0.00%,US$47.98,US$0.00,4,0
B0DH1V46S6,B07ZCTSHL3,"linoroso Chef Knife - Professional Pro Kitchen Knife 8 inch Chef's Knives, German High Carbon Stainless Steel Ultra Sharp Cooking Knife with Full Tang Ergonomic Handle - Classic Series",Amazon.Found.B07ZCTSHL3,240,5,0.51%,0.63%,277,6,0.43%,0.56%,100.00%,100.00%,3,0,1.25%,0.00%,US$95.85,US$0.00,3,0
B085DTF1GQ,B085DTF1GQ,"linoroso Nakiri Knife 7 inch Japanese Chef Knife, Asian Vegetable Cleaver Kitchen Knife, German High Carbon Stainless Steel Usuba Knife with Full Tang Ergonomic Handle for Home Kitchen and Restaurant",PCF20,57,4,0.12%,0.50%,107,6,0.17%,0.56%,100.00%,100.00%,3,0,5.26%,0.00%,US$87.87,US$0.00,3,0
B08QN2HZXF,B08QMHDBCM,"Linoroso Cutting Boards for Kitchen with Defrosting Tray Set of 3, Dishwasher Safe Plastic Cutting Board with Deep Juice Grooves, Non-Slip Durable Chopping Boards for Meat, Veggies, Fruits - Blue",LCB009,13,1,0.03%,0.13%,22,1,0.03%,0.09%,100.00%,100.00%,3,0,23.08%,0.00%,US$45.57,US$0.00,3,0
B0C89N8TSF,B0C89N8TSF,"linoroso Knife Set for Kitchen, 6 Pieces Doodle Drawings Kitchen Knife Set with Gift Box, High Carbon Stainless Steel with Colorful Pattern Design Chef Knife Set, Sharp Knife for Gift,Saklei Series",COH03-1,"1,203",11,2.57%,1.39%,"1,537",12,2.39%,1.12%,100.00%,100.00%,3,0,0.25%,0.00%,US$59.97,US$0.00,3,0
B0D4VQK8GH,B0C9PVCX11,"Linoroso Julienne Y-Peeler, Classic Vegetable Peelers Euro Peeler for Kitchen, Japanese Stainless Steel Carrot Peeler with Comfortable Handle, Dishwasher Safe Kitchen Food Peelers for Peeling, Black",LPS02-B,64,1,0.14%,0.13%,90,2,0.14%,0.19%,100.00%,100.00%,3,0,4.69%,0.00%,US$21.57,US$0.00,3,0
B0CG9B2Q5J,B0CG9B2Q5J,"linoroso Pop Airtight Food Storage Containers with Time Recording Lids, BPA-Free Stackable Plastic Storage Containers Set of 4, Dry Cereal Container Set for Pantry Countertop Fridge Organization",LAC13,171,4,0.37%,0.50%,276,9,0.43%,0.84%,97.64%,100.00%,3,1,1.75%,25.00%,US$91.77,US$33.99,3,1
B0D91YLTXG,B0D5D2PWZ4,"Linoroso Magnetic Bottle Opener Pop Can Opener for Refrigerator, Beer Bottle Opener and Soda Can Opener with Cap Catcher, Portable Beer Opener for Bartender, Home, Restaurant, Bar Tools, 2 Pack, Green",LON10-G,14,1,0.03%,0.13%,18,2,0.03%,0.19%,100.00%,0.00%,3,0,21.43%,0.00%,US$26.97,US$0.00,3,0
B07ZCTSHL3,B07ZCTSHL3,"linoroso Chef Knife - Professional Pro Kitchen Knife 8 inch Chef's Knives, German High Carbon Stainless Steel Ultra Sharp Cooking Knife with Full Tang Ergonomic Handle - Classic Series",PCF07,47,1,0.10%,0.13%,64,1,0.10%,0.09%,100.00%,0.00%,2,0,4.26%,0.00%,US$57.41,US$0.00,2,0
B085PTHNPP,B085PTHNPP,"linoroso Knife Set, 13-Piece Kitchen Knife Set with Block Sharp Chef Knife Set, German High Carbon Stainless Steel Knife Block Set with Beech Block with Black Oxide Stainless Steel Base",ROZ60,21,0,0.04%,0.00%,35,0,0.05%,0.00%,96.15%,0.00%,2,0,9.52%,0.00%,US$288.51,US$0.00,2,0
B0D4VQK8GH,B0C9PWNQDX,"Linoroso Serrated Fruit Y-Peeler, Classic Vegetable Peeler Euro Peeler Kitchen, Japanese Stainless Steel Veggie Peeler with Comfortable Handle, Dishwasher Safe Kitchen Food Peelers for Peeling, Green",LPS03-G,36,2,0.08%,0.25%,48,2,0.07%,0.19%,100.00%,100.00%,2,0,5.56%,0.00%,US$14.78,US$0.00,2,0
B0CTM73JC8,B0CD3XCFQS,"linoroso Chef Knife 8 Inch Pro Kitchen Knife with Premium Gift Box, Chef's Knives High Carbon Stainless Steel Sharp Knife with Ergonomic Green Handle, Christmas Gifts for Women and Men",PCF07G,51,2,0.11%,0.25%,61,2,0.09%,0.19%,100.00%,100.00%,2,0,3.92%,0.00%,US$44.34,US$0.00,2,0
